sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
WSN_PB2	WT	1946	-22.84	-13.76	0.0	0.0	0.0	-36.60	3.00	1119.00
WSN_PB2	WT	1951	-22.84	-13.76	0.0	0.0	0.0	-36.60	3.00	613.00
WSN_PB2	WT	1089	-11.91	-13.11	0.0	0.0	0.0	-25.02	2.00	3872.00
WSN_PB2	WT	2299	0.0	0.0	0.0	0.0	0.0	0.00	0.00	320.00
WSN_PB1	WT	2232	-497.32	-968.83	-447.20	-135.05	-40.95	-2089.35	158.00	34216.00
WSN_PB1	WT	686	-407.05	-886.15	-547.90	-218.78	-18.67	-2078.55	154.00	9725.00
WSN_PB1	WT	544	-321.12	-895.05	-386.76	-117.40	-37.93	-1758.26	132.00	7230.00
WSN_PB1	WT	2125	-345.04	-735.44	-372.85	-167.51	-37.53	-1658.37	124.00	4060.00
WSN_PB1	WT	1902	-277.98	-858.91	-353.91	-133.24	-18.63	-1642.67	124.00	3722.00
WSN_PB1	WT	2101	-285.68	-632.22	-429.05	-150.69	-56.61	-1554.25	115.00	1475.00
WSN_PB1	WT	369	-309.32	-597.72	-339.16	-101.53	-38.08	-1385.81	104.00	17408.00
WSN_PB1	WT	1943	-161.44	-609.17	-340.47	-131.53	-78.27	-1320.88	96.00	9850.00
WSN_PB1	WT	1851	-331.11	-545.90	-235.76	-116.07	-39.02	-1267.86	96.00	355.00
WSN_PB1	WT	2027	-254.98	-574.00	-252.39	-136.17	-19.56	-1237.10	93.00	36958.00
WSN_PB1	WT	790	-285.06	-503.24	-210.83	-99.78	-74.96	-1173.87	88.00	10035.00
WSN_PB1	WT	318	-332.13	-527.38	-176.91	-67.77	-57.08	-1161.27	89.00	58499.00
WSN_PB1	WT	435	-296.95	-612.58	-217.42	0.0	0.0	-1126.95	89.00	2266.00
WSN_PB1	WT	1590	-197.25	-564.67	-218.20	-32.25	-78.82	-1091.19	82.00	8349.00
WSN_PB1	WT	1050	-232.62	-603.90	-159.93	-17.49	0.0	-1013.94	79.00	21575.00
WSN_PB1	WT	213	-286.53	-564.63	-73.69	-16.56	0.0	-941.41	75.00	3794.00
WSN_PB1	WT	1106	-244.03	-426.08	-119.08	-34.27	-37.77	-861.23	66.00	3668.00
WSN_PB1	WT	635	-148.77	-282.10	-164.72	-83.62	0.0	-679.21	51.00	3349.00
WSN_PB1	WT	500	-197.63	-321.55	-129.71	-16.85	0.0	-665.74	52.00	3251.00
WSN_PB1	WT	154	-241.62	-242.85	-148.23	-32.84	0.0	-665.54	52.00	6572.00
WSN_PB1	WT	68	-219.08	-307.97	-103.39	-32.20	0.0	-662.64	52.00	3304.00
WSN_PB1	WT	1330	-240.15	-281.41	-85.76	-33.94	0.0	-641.26	51.00	1368.00
WSN_PB1	WT	1137	-310.65	-235.77	-59.66	0.0	0.0	-606.08	49.00	3153.00
WSN_PB1	WT	1645	-160.16	-280.21	-103.99	-51.87	0.0	-596.23	46.00	6387.00
WSN_PB1	WT	1409	-172.42	-305.75	-58.05	-50.34	0.0	-586.56	46.00	4193.00
WSN_PB1	WT	2183	-137.67	-322.95	-57.65	-66.23	0.0	-584.50	45.00	2754.00
WSN_PB1	WT	196	-195.17	-255.62	-74.04	-33.77	0.0	-558.60	44.00	7604.00
WSN_PB1	WT	1374	-240.16	-229.72	-71.16	-17.38	0.0	-558.42	45.00	1208.00
WSN_PB1	WT	1026	-149.43	-294.26	-88.16	0.0	0.0	-531.85	42.00	578.00
WSN_PB1	WT	1437	-159.90	-239.96	-72.99	-16.66	0.0	-489.51	39.00	5081.00
WSN_PB1	WT	954	-208.66	-216.35	-29.01	0.0	0.0	-454.02	37.00	18458.00
WSN_PB1	WT	936	-160.95	-141.40	-119.53	-16.73	0.0	-438.61	34.00	9957.00
WSN_PB1	WT	1203	-103.90	-226.59	-60.89	-33.16	0.0	-424.54	33.00	2931.00
WSN_PB1	WT	1356	-123.86	-183.66	-86.21	-17.47	0.0	-411.20	32.00	2683.00
WSN_PB1	WT	1495	-92.88	-257.62	-43.18	0.0	0.0	-393.68	31.00	1066.00
WSN_PB1	WT	2332	-11.75	-64.20	-193.27	-51.60	-58.30	-379.12	25.00	169.00
WSN_PB1	WT	2273	-80.14	-192.59	-58.99	-16.26	-18.40	-366.38	28.00	2505.00
WSN_PB1	WT	2073	-80.13	-189.61	-57.66	0.0	0.0	-327.40	26.00	364.00
WSN_PB1	WT	1617	-69.17	-140.93	-46.10	0.0	-38.06	-294.26	22.00	9549.00
WSN_PB1	WT	1620	-69.09	-115.21	-46.10	0.0	-38.06	-268.46	20.00	9549.00
WSN_PB1	WT	285	-103.10	-129.82	-30.21	0.0	0.0	-263.13	21.00	3847.00
WSN_PB1	WT	289	-92.03	-116.32	-30.21	0.0	0.0	-238.56	19.00	4113.00
WSN_PB1	WT	1265	-46.83	-140.51	-28.81	-16.12	0.0	-232.27	18.00	604.00
WSN_PB1	WT	997	-58.50	-128.10	-45.21	0.0	0.0	-231.81	18.00	16815.00
WSN_PB1	WT	1542	-80.16	-126.98	-15.25	0.0	0.0	-222.39	18.00	3819.00
WSN_PB1	WT	2160	-45.04	-101.95	-59.13	-16.05	0.0	-222.17	17.00	524.00
WSN_PB1	WT	241	-45.48	-102.27	-28.50	0.0	-19.87	-196.12	15.00	7114.00
WSN_PB1	WT	909	-90.94	-50.75	-14.04	-16.28	0.0	-172.01	14.00	266.00
WSN_PB1	WT	1713	-57.21	-77.49	-29.23	0.0	0.0	-163.93	13.00	551.00
WSN_PB1	WT	1689	-81.68	-78.23	0.0	0.0	0.0	-159.91	13.00	551.00
WSN_PB1	WT	1747	-33.39	-77.57	-29.36	-16.32	0.0	-156.64	12.00	418.00
WSN_PB1	WT	856	-46.42	-77.11	-14.01	0.0	0.0	-137.54	11.00	3598.00
WSN_PB1	WT	96	-58.09	-26.48	-43.92	0.0	0.0	-128.49	10.00	817.00
WSN_PB1	WT	1293	-22.82	-76.40	-15.04	0.0	0.0	-114.26	9.00	2335.00
WSN_PB1	WT	115	-46.08	-64.58	0.0	0.0	0.0	-110.66	9.00	559.00
WSN_PB1	WT	23	-68.52	-25.05	0.0	-16.66	0.0	-110.23	9.00	702.00
WSN_PB1	WT	1799	-23.06	-52.24	-29.19	0.0	0.0	-104.49	8.00	1003.00
WSN_PB1	WT	1778	-34.56	-38.11	-30.84	0.0	0.0	-103.51	8.00	648.00
WSN_PB1	WT	1247	-23.16	-52.08	0.0	0.0	0.0	-75.24	6.00	604.00
WSN_PB1	WT	1163	-11.62	-50.80	0.0	0.0	0.0	-62.42	5.00	0.00
WSN_PB1	WT	1243	-35.07	-26.43	0.0	0.0	0.0	-61.50	5.00	320.00
WSN_PB1	WT	408	0.0	-39.58	-14.91	0.0	0.0	-54.49	4.00	2257.00
WSN_PB1	WT	1234	-23.80	-26.43	0.0	0.0	0.0	-50.23	4.00	3073.00
WSN_PB1	WT	881	-34.84	-12.61	0.0	0.0	0.0	-47.45	4.00	266.00
WSN_PB1	WT	720	0.0	0.0	0.0	0.0	0.0	0.00	0.00	5035.00
WSN_PB1	WT	832	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1644.00
WSN_PA	WT	1549	-532.22	-1404.48	-650.98	-231.21	-75.46	-2894.35	216.00	14265.00
WSN_PA	WT	1385	-364.48	-1102.53	-697.21	-252.92	-113.37	-2530.51	185.00	29552.00
WSN_PA	WT	625	-334.10	-685.32	-457.47	-83.59	-18.10	-1578.58	119.00	21511.00
WSN_PA	WT	340	-321.69	-709.72	-374.41	-114.24	-58.47	-1578.53	118.00	15339.00
WSN_PA	WT	455	-218.10	-682.23	-250.57	-67.57	0.0	-1218.47	93.00	2123.00
WSN_PA	WT	1650	-195.69	-532.74	-327.07	-67.16	-73.83	-1196.49	88.00	7710.00
WSN_PA	WT	80	-344.64	-663.71	-116.89	-50.30	0.0	-1175.54	93.00	10126.00
WSN_PA	WT	1735	-137.81	-634.92	-322.35	-66.81	0.0	-1161.89	87.00	1759.00
WSN_PA	WT	252	-266.40	-593.53	-118.37	-32.58	0.0	-1010.88	79.00	4725.00
WSN_PA	WT	178	-208.32	-461.65	-116.57	-100.82	-38.14	-925.50	70.00	20572.00
WSN_PA	WT	542	-219.12	-358.27	-103.17	-84.67	-19.09	-784.32	60.00	2363.00
WSN_PA	WT	407	-230.41	-379.61	-89.43	-32.56	-18.44	-750.45	59.00	7336.00
WSN_PA	WT	849	-253.87	-297.04	-134.71	-16.16	0.0	-701.78	55.00	10570.00
WSN_PA	WT	788	-182.31	-345.75	-58.18	-66.54	-18.40	-671.18	52.00	14186.00
WSN_PA	WT	1087	-287.42	-228.57	-75.39	-33.15	-18.07	-642.60	51.00	5153.00
WSN_PA	WT	1325	-184.17	-284.62	-118.81	-16.68	0.0	-604.28	47.00	3641.00
WSN_PA	WT	1180	-150.59	-209.65	-146.87	-68.69	-18.58	-594.38	44.00	8483.00
WSN_PA	WT	1701	-139.13	-292.90	-88.02	-33.20	0.0	-553.25	43.00	693.00
WSN_PA	WT	910	-183.17	-294.04	-15.08	-33.31	0.0	-525.60	42.00	258.00
WSN_PA	WT	1913	-113.63	-258.52	-133.12	-16.24	0.0	-521.51	40.00	480.00
WSN_PA	WT	1953	-80.87	-298.72	-88.40	-17.57	0.0	-485.56	37.00	11226.00
WSN_PA	WT	679	-149.77	-235.75	-60.10	-33.51	0.0	-479.13	37.00	986.00
WSN_PA	WT	117	-240.37	-152.11	-44.77	0.0	-40.38	-477.63	38.00	33353.00
WSN_PA	WT	1495	-149.71	-168.06	-75.55	-16.73	-37.88	-447.93	34.00	2487.00
WSN_PA	WT	2008	-171.80	-244.07	-30.09	0.0	0.0	-445.96	36.00	2434.00
WSN_PA	WT	953	-103.03	-207.21	-117.92	0.0	0.0	-428.16	33.00	436.00
WSN_PA	WT	1777	-149.02	-227.24	-43.45	0.0	0.0	-419.71	34.00	6137.00
WSN_PA	WT	308	-58.81	-248.03	-75.71	-16.12	-18.08	-416.75	31.00	728.00
WSN_PA	WT	2037	-103.30	-205.64	-44.79	-16.34	0.0	-370.07	29.00	3305.00
WSN_PA	WT	30	-80.92	-162.87	-87.60	0.0	0.0	-331.39	26.00	2993.00
WSN_PA	WT	2165	-93.55	-179.08	-28.49	0.0	0.0	-301.12	24.00	0.00
WSN_PA	WT	2222	0.0	-77.15	-134.68	-32.96	-40.70	-285.49	19.00	817.00
WSN_PA	WT	1255	-45.14	-167.60	-44.73	-16.16	0.0	-273.63	21.00	3002.00
WSN_PA	WT	1009	-68.97	-140.22	-44.35	0.0	0.0	-253.54	20.00	2123.00
WSN_PA	WT	1809	-128.79	-75.59	-29.25	-16.01	0.0	-249.64	20.00	888.00
WSN_PA	WT	724	-57.67	-130.08	-28.56	-32.40	0.0	-248.71	19.00	1687.00
WSN_PA	WT	2093	-56.76	-139.90	0.0	-32.45	0.0	-229.11	18.00	0.00
WSN_PA	WT	2130	-58.27	-100.94	-44.54	0.0	-19.47	-223.22	17.00	3562.00
WSN_PA	WT	2181	-68.74	-89.31	-44.03	0.0	0.0	-202.08	16.00	0.00
WSN_PA	WT	221	-22.55	-91.69	-14.24	-16.65	0.0	-145.13	11.00	14594.00
WSN_PA	WT	508	-23.00	-101.50	-15.44	0.0	0.0	-139.94	11.00	853.00
WSN_PA	WT	764	-33.41	-51.49	-44.25	0.0	0.0	-129.15	10.00	33051.00
WSN_PA	WT	1279	-21.67	-88.44	-15.04	0.0	0.0	-125.15	10.00	3242.00
WSN_PA	WT	651	-22.84	-37.90	-44.03	0.0	0.0	-104.77	8.00	5524.00
WSN_PA	WT	1837	-34.42	-65.41	0.0	0.0	0.0	-99.83	8.00	1678.00
WSN_PA	WT	7	-23.25	-26.76	-28.84	0.0	0.0	-78.85	6.00	0.00
WSN_PA	WT	1235	-34.85	-27.07	0.0	0.0	0.0	-61.92	5.00	1732.00
WSN_PA	WT	1228	-34.46	-27.07	0.0	0.0	0.0	-61.53	5.00	578.00
WSN_PA	WT	431	-22.29	-38.25	0.0	0.0	0.0	-60.54	5.00	7328.00
WSN_PA	WT	1038	-22.82	0.0	-30.98	0.0	0.0	-53.80	4.00	764.00
WSN_PA	WT	574	-22.96	-26.36	0.0	0.0	0.0	-49.32	4.00	7443.00
WSN_PA	WT	1440	-11.86	-25.48	0.0	0.0	0.0	-37.34	3.00	0.00
WSN_PA	WT	1059	0.0	-12.88	0.0	0.0	0.0	-12.88	1.00	1181.00
WSN_PA	WT	1881	-11.30	0.0	0.0	0.0	0.0	-11.30	1.00	293.00
WSN_PA	WT	2064	-11.28	0.0	0.0	0.0	0.0	-11.28	1.00	1129.00
WSN_PA	WT	1874	0.0	0.0	0.0	0.0	0.0	0.00	0.00	346.00
WSN_HA	WT	1481	-286.86	-767.65	-336.98	-133.35	-37.70	-1562.54	117.00	5800.00
WSN_HA	WT	1320	-289.25	-649.08	-354.74	-99.14	0.0	-1392.21	105.00	3793.00
WSN_HA	WT	109	-414.18	-576.16	-178.07	-50.34	-39.19	-1257.94	98.00	20703.00
WSN_HA	WT	133	-240.30	-707.95	-190.00	-50.17	-18.83	-1207.25	93.00	16076.00
WSN_HA	WT	1051	-208.46	-619.05	-211.44	-119.15	0.0	-1158.10	87.00	7194.00
WSN_HA	WT	824	-290.09	-635.85	-129.74	-67.49	0.0	-1123.17	87.00	6023.00
WSN_HA	WT	899	-208.14	-596.09	-211.18	-33.45	-57.94	-1106.80	83.00	14495.00
WSN_HA	WT	1149	-254.38	-524.33	-106.18	-50.18	0.0	-935.07	73.00	515.00
WSN_HA	WT	850	-342.74	-375.28	-73.19	-103.00	-39.14	-933.35	72.00	22632.00
WSN_HA	WT	1214	-207.31	-413.37	-177.83	-33.55	0.0	-832.06	64.00	6175.00
WSN_HA	WT	730	-285.36	-256.01	-249.56	-16.74	0.0	-807.67	63.00	4779.00
WSN_HA	WT	993	-208.94	-446.61	-89.88	-33.51	-18.21	-797.15	62.00	2523.00
WSN_HA	WT	1546	-126.41	-388.52	-222.91	-16.46	0.0	-754.30	57.00	471.00
WSN_HA	WT	1592	-148.29	-377.25	-177.81	-32.42	0.0	-735.77	56.00	1323.00
WSN_HA	WT	1286	-196.94	-320.16	-160.76	-33.04	0.0	-710.90	55.00	4521.00
WSN_HA	WT	1512	-171.36	-394.99	-74.83	-17.13	-37.70	-696.01	54.00	16451.00
WSN_HA	WT	1662	-151.36	-390.12	-102.71	-34.77	0.0	-678.96	53.00	16299.00
WSN_HA	WT	614	-113.39	-295.60	-162.68	-32.37	0.0	-604.04	46.00	3828.00
WSN_HA	WT	701	-161.04	-207.81	-44.69	-17.61	0.0	-431.15	34.00	3908.00
WSN_HA	WT	938	-137.99	-191.93	-60.81	-17.80	-19.00	-427.53	33.00	907.00
WSN_HA	WT	1386	-69.32	-166.41	-88.86	-17.34	-18.25	-360.18	27.00	1608.00
WSN_HA	WT	1434	-35.14	-231.41	-57.52	-16.21	0.0	-340.28	26.00	4780.00
WSN_HA	WT	591	-47.08	-220.81	-44.31	-16.62	0.0	-328.82	25.00	4823.00
WSN_HA	WT	523	-69.54	-154.10	-57.76	-16.17	0.0	-297.57	23.00	1706.00
WSN_HA	WT	1696	-80.62	-137.74	-58.41	-16.53	0.0	-293.30	23.00	5356.00
WSN_HA	WT	1615	-69.07	-170.24	-15.43	-32.16	0.0	-286.90	22.00	2220.00
WSN_HA	WT	1094	-80.50	-130.04	-45.91	0.0	0.0	-256.45	20.00	5596.00
WSN_HA	WT	1240	-23.16	-186.37	-46.51	0.0	0.0	-256.04	19.00	6972.00
WSN_HA	WT	66	-34.10	-158.37	-44.27	0.0	0.0	-236.74	18.00	5569.00
WSN_HA	WT	10	0.0	-131.18	-56.59	-33.62	0.0	-221.39	16.00	124.00
WSN_HA	WT	291	-92.10	-64.99	-14.18	-16.27	0.0	-187.54	15.00	195.00
WSN_HA	WT	1021	-23.92	-124.44	-30.91	0.0	0.0	-179.27	14.00	1040.00
WSN_HA	WT	964	-90.40	-87.15	0.0	0.0	0.0	-177.55	15.00	3242.00
WSN_HA	WT	875	-56.05	-88.82	-30.79	0.0	0.0	-175.66	14.00	1075.00
WSN_HA	WT	962	-78.50	-87.15	0.0	0.0	0.0	-165.65	14.00	3242.00
WSN_HA	WT	1725	-33.78	-102.46	-28.02	0.0	0.0	-164.26	13.00	3188.00
WSN_HA	WT	170	-56.78	-76.42	-28.80	0.0	0.0	-162.00	13.00	2540.00
WSN_HA	WT	1186	-22.33	-101.78	-31.18	0.0	0.0	-155.29	12.00	6582.00
WSN_HA	WT	561	-57.79	-25.65	-43.16	0.0	0.0	-126.60	10.00	266.00
WSN_HA	WT	358	-34.01	-75.74	-14.33	0.0	0.0	-124.08	10.00	453.00
WSN_HA	WT	674	-80.31	-13.13	0.0	0.0	-18.77	-112.21	9.00	2913.00
WSN_HA	WT	250	-11.68	-63.67	-14.44	0.0	0.0	-89.79	7.00	337.00
WSN_HA	WT	766	-34.11	-37.88	-15.40	0.0	0.0	-87.39	7.00	1856.00
WSN_HA	WT	762	-11.77	-25.42	-30.78	-16.33	0.0	-84.30	6.00	1856.00
WSN_HA	WT	442	-22.43	-40.18	-14.06	0.0	0.0	-76.67	6.00	435.00
WSN_HA	WT	206	-34.94	-26.09	-14.61	0.0	0.0	-75.64	6.00	604.00
WSN_HA	WT	1765	-11.23	-12.77	-46.50	0.0	0.0	-70.50	5.00	0.00
WSN_HA	WT	381	-22.44	-24.43	-14.75	0.0	0.0	-61.62	5.00	320.00
WSN_HA	WT	405	-11.60	-39.57	0.0	0.0	0.0	-51.17	4.00	0.00
WSN_HA	WT	647	-23.48	-24.79	0.0	0.0	0.0	-48.27	4.00	151.00
WSN_HA	WT	654	-22.50	-25.35	0.0	0.0	0.0	-47.85	4.00	151.00
WSN_HA	WT	657	-22.50	-25.35	0.0	0.0	0.0	-47.85	4.00	151.00
WSN_HA	WT	486	-23.01	-24.84	0.0	0.0	0.0	-47.85	4.00	0.00
WSN_HA	WT	650	-22.50	-24.79	0.0	0.0	0.0	-47.29	4.00	151.00
WSN_HA	WT	318	0.0	-25.72	0.0	0.0	0.0	-25.72	2.00	728.00
WSN_HA	WT	327	0.0	-13.69	0.0	0.0	0.0	-13.69	1.00	728.00
WSN_NP	WT	1006	-392.97	-1016.77	-411.70	-219.71	-75.93	-2117.08	158.00	10996.00
WSN_NP	WT	95	-288.02	-1071.71	-500.10	-151.15	-37.71	-2048.69	153.00	719.00
WSN_NP	WT	695	-287.56	-852.14	-507.59	-251.25	-114.36	-2012.90	146.00	43531.00
WSN_NP	WT	313	-263.53	-670.82	-312.85	-133.10	-56.83	-1437.13	106.00	13252.00
WSN_NP	WT	1031	-286.04	-498.36	-190.65	-103.61	-37.08	-1115.74	85.00	15126.00
WSN_NP	WT	667	-185.01	-553.76	-178.38	-17.21	-18.35	-952.71	73.00	23467.00
WSN_NP	WT	520	-255.64	-360.16	-220.10	-66.29	0.0	-902.19	69.00	9015.00
WSN_NP	WT	358	-125.75	-402.10	-223.88	-83.89	-40.25	-875.87	64.00	8224.00
WSN_NP	WT	1510	-208.71	-458.20	-163.84	-17.06	-18.83	-866.64	67.00	14380.00
WSN_NP	WT	1269	-217.25	-412.28	-133.02	-32.97	-18.36	-813.88	63.00	2007.00
WSN_NP	WT	1459	-240.19	-382.72	-119.41	-67.12	0.0	-809.44	63.00	27686.00
WSN_NP	WT	782	-196.07	-437.38	-132.28	-16.82	-19.67	-802.22	62.00	9361.00
WSN_NP	WT	554	-193.92	-421.98	-103.70	-34.17	0.0	-753.77	59.00	5704.00
WSN_NP	WT	253	-195.28	-349.18	-162.76	-34.01	0.0	-741.23	57.00	4129.00
WSN_NP	WT	458	-184.34	-319.39	-132.19	-69.30	-18.29	-723.51	55.00	1075.00
WSN_NP	WT	123	-148.48	-337.90	-104.80	-101.54	-18.61	-711.33	53.00	1501.00
WSN_NP	WT	1104	-114.16	-346.48	-162.48	-32.93	-20.17	-676.22	51.00	25314.00
WSN_NP	WT	1127	-147.99	-381.68	-58.10	-16.22	-36.84	-640.83	50.00	8883.00
WSN_NP	WT	577	-91.63	-337.35	-132.29	-34.17	0.0	-595.44	45.00	5277.00
WSN_NP	WT	1158	-102.22	-282.30	-89.33	-16.96	0.0	-490.81	38.00	746.00
