sequence	type	position	peak>-12	peak>-14	peak>-16	peak>-18	peak<-18	peak_sum	peak_count	sp_mean
PR8_PB2	WT	1517	-33.99	-49.98	-31.26	0.0	0.0	-115.23	9.00	4355.00
PR8_PB2	WT	1540	0.0	-12.35	0.0	0.0	0.0	-12.35	1.00	13811.00
PR8_PB2	WT	1586	-57.15	-52.44	-72.41	-49.93	0.0	-231.93	17.00	35192.00
PR8_PB2	WT	1626	0.0	-24.40	-14.87	0.0	0.0	-39.27	3.00	19413.00
PR8_PB2	WT	1695	-23.40	-64.33	0.0	0.0	-18.11	-105.84	8.00	9652.00
PR8_PB2	WT	1720	-35.16	-75.91	-14.28	-16.36	0.0	-141.71	11.00	527.00
PR8_PB2	WT	1753	-11.00	-37.10	0.0	0.0	0.0	-48.10	4.00	0.00
PR8_PB2	WT	1760	-11.62	-24.52	0.0	0.0	0.0	-36.14	3.00	0.00
PR8_PB2	WT	1820	-35.01	-51.15	-14.35	-16.30	0.0	-116.81	9.00	3550.00
PR8_PB2	WT	1881	-34.66	-89.82	-29.19	0.0	0.0	-153.67	12.00	5685.00
PR8_PB2	WT	1901	-23.28	-37.86	-14.64	0.0	0.0	-75.78	6.00	4853.00
PR8_PB2	WT	1968	0.0	0.0	0.0	0.0	0.0	0.00	0.00	471.00
PR8_PB2	WT	1990	-11.97	-12.17	0.0	0.0	0.0	-24.14	2.00	1636.00
PR8_PB2	WT	2013	-35.42	-66.03	-30.87	0.0	0.0	-132.32	10.00	1692.00
PR8_PB2	WT	2047	-105.00	-268.31	-88.93	-83.47	0.0	-545.71	41.00	9097.00
PR8_PB2	WT	2080	0.0	-24.30	0.0	0.0	0.0	-24.30	2.00	6712.00
PR8_PB2	WT	2118	-10.98	-38.25	-14.98	0.0	0.0	-64.21	5.00	1276.00
PR8_PB2	WT	2154	-34.19	-13.03	0.0	0.0	0.0	-47.22	4.00	777.00
PR8_PB2	WT	2169	-34.01	-26.41	0.0	-16.32	0.0	-76.74	6.00	2136.00
PR8_PB2	WT	2217	-22.83	-88.15	-58.97	-17.51	-19.22	-206.68	15.00	7211.00
PR8_PB2	WT	2252	-80.81	-297.70	-177.18	-100.15	0.0	-655.84	48.00	471.00
PR8_PB2	WT	2291	0.0	0.0	-14.07	-16.18	0.0	-30.25	2.00	0.00
PR8_PB2	WT	2305	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB2	WT	2307	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB2	WT	2315	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB2	WT	2340	0.0	0.0	-46.30	-33.60	0.0	-79.90	5.00	0.00
PR8_PB1	WT	0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB1	WT	41	0.0	-25.30	0.0	0.0	0.0	-25.30	2.00	499.00
PR8_PB1	WT	86	-80.79	-52.17	-59.09	0.0	0.0	-192.05	15.00	610.00
PR8_PB1	WT	111	0.0	-36.99	0.0	0.0	0.0	-36.99	3.00	1165.00
PR8_PB1	WT	125	0.0	-25.77	0.0	0.0	0.0	-25.77	2.00	4853.00
PR8_PB1	WT	182	-68.43	-87.36	-74.32	-32.36	0.0	-262.47	20.00	14977.00
PR8_PB1	WT	198	-139.31	-243.56	-117.81	-49.31	-18.30	-568.29	43.00	24711.00
PR8_PB1	WT	230	-11.83	0.0	-14.27	0.0	0.0	-26.10	2.00	20386.00
PR8_PB1	WT	257	-34.52	-13.16	-44.05	0.0	0.0	-91.73	7.00	471.00
PR8_PB1	WT	276	-34.87	-38.32	-15.06	0.0	0.0	-88.25	7.00	0.00
PR8_PB1	WT	283	-46.76	-24.89	-14.80	0.0	0.0	-86.45	7.00	0.00
PR8_PB1	WT	348	-56.69	-61.84	-60.00	0.0	0.0	-178.53	14.00	17139.00
PR8_PB1	WT	394	-11.40	0.0	-28.73	0.0	-20.49	-60.62	4.00	26542.00
PR8_PB1	WT	404	-22.85	0.0	0.0	0.0	0.0	-22.85	2.00	12260.00
PR8_PB1	WT	455	-115.28	-116.54	-14.64	0.0	-18.96	-265.42	21.00	3550.00
PR8_PB1	WT	471	-35.04	-36.62	-14.43	0.0	0.0	-86.09	7.00	5271.00
PR8_PB1	WT	474	-11.58	-62.26	-14.43	0.0	0.0	-88.27	7.00	5271.00
PR8_PB1	WT	519	0.0	-26.40	-45.11	0.0	0.0	-71.51	5.00	15169.00
PR8_PB1	WT	590	0.0	0.0	-15.92	0.0	0.0	-15.92	1.00	0.00
PR8_PB1	WT	592	0.0	-12.86	0.0	0.0	0.0	-12.86	1.00	0.00
PR8_PB1	WT	661	-22.25	-25.72	0.0	0.0	0.0	-47.97	4.00	21215.00
PR8_PB1	WT	713	0.0	-12.86	0.0	0.0	0.0	-12.86	1.00	19220.00
PR8_PB1	WT	722	-11.43	0.0	0.0	0.0	0.0	-11.43	1.00	2219.00
PR8_PB1	WT	737	-23.66	-13.45	0.0	0.0	0.0	-37.11	3.00	6268.00
PR8_PB1	WT	778	-89.91	-127.19	-90.06	-66.23	-18.95	-392.34	29.00	43707.00
PR8_PB1	WT	828	0.0	0.0	0.0	0.0	0.0	0.00	0.00	7766.00
PR8_PB1	WT	836	0.0	-13.63	0.0	0.0	0.0	-13.63	1.00	6185.00
PR8_PB1	WT	870	-11.29	-25.01	0.0	0.0	0.0	-36.30	3.00	444.00
PR8_PB1	WT	886	-21.82	-37.28	-15.54	-16.43	0.0	-91.07	7.00	444.00
PR8_PB1	WT	890	-11.00	-24.67	-15.54	-16.43	0.0	-67.64	5.00	444.00
PR8_PB1	WT	913	-91.48	-25.25	-30.41	0.0	0.0	-147.14	12.00	7571.00
PR8_PB1	WT	946	-103.05	-191.96	-57.42	0.0	0.0	-352.43	28.00	29258.00
PR8_PB1	WT	972	-45.71	-90.12	0.0	-33.20	0.0	-169.03	13.00	54162.00
PR8_PB1	WT	1010	-92.12	-75.86	0.0	0.0	0.0	-167.98	14.00	19163.00
PR8_PB1	WT	1034	-35.21	-140.32	-28.53	0.0	0.0	-204.06	16.00	23184.00
PR8_PB1	WT	1078	0.0	0.0	0.0	0.0	0.0	0.00	0.00	28425.00
PR8_PB1	WT	1124	-69.82	-91.69	-60.66	-66.25	0.0	-288.42	21.00	5574.00
PR8_PB1	WT	1152	-11.83	-13.56	0.0	0.0	0.0	-25.39	2.00	1220.00
PR8_PB1	WT	1168	-11.74	0.0	0.0	0.0	0.0	-11.74	1.00	2024.00
PR8_PB1	WT	1182	0.0	0.0	0.0	0.0	0.0	0.00	0.00	2024.00
PR8_PB1	WT	1228	-23.06	-25.50	0.0	0.0	0.0	-48.56	4.00	2801.00
PR8_PB1	WT	1248	-11.06	-12.58	0.0	0.0	0.0	-23.64	2.00	0.00
PR8_PB1	WT	1281	0.0	-52.40	-30.62	0.0	0.0	-83.02	6.00	1664.00
PR8_PB1	WT	1312	-10.97	-25.36	0.0	0.0	0.0	-36.33	3.00	16252.00
PR8_PB1	WT	1347	-33.48	-63.78	-74.27	-17.51	0.0	-189.04	14.00	13201.00
PR8_PB1	WT	1386	-67.99	-63.76	-14.81	0.0	0.0	-146.56	12.00	6961.00
PR8_PB1	WT	1422	-81.27	-180.14	-75.16	-16.30	0.0	-352.87	27.00	5463.00
PR8_PB1	WT	1472	0.0	-13.46	0.0	0.0	0.0	-13.46	1.00	13810.00
PR8_PB1	WT	1523	-34.43	-12.90	0.0	0.0	0.0	-47.33	4.00	6517.00
PR8_PB1	WT	1568	0.0	0.0	-14.18	0.0	0.0	-14.18	1.00	23323.00
PR8_PB1	WT	1616	-34.04	-113.59	-30.83	0.0	-38.27	-216.73	16.00	27040.00
PR8_PB1	WT	1666	-11.64	0.0	0.0	0.0	0.0	-11.64	1.00	1082.00
PR8_PB1	WT	1695	-23.24	0.0	0.0	0.0	0.0	-23.24	2.00	0.00
PR8_PB1	WT	1728	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PB1	WT	1762	0.0	-12.71	-14.69	-16.84	0.0	-44.24	3.00	416.00
PR8_PB1	WT	1786	-33.93	0.0	-14.25	-17.60	0.0	-65.78	5.00	2662.00
PR8_PB1	WT	1871	-23.33	-12.98	0.0	-16.01	0.0	-52.32	4.00	0.00
PR8_PB1	WT	1918	-46.90	-113.49	-60.40	-16.72	-18.40	-255.91	19.00	9208.00
PR8_PB1	WT	2004	0.0	-12.99	0.0	0.0	0.0	-12.99	1.00	6406.00
PR8_PB1	WT	2055	-11.54	-13.12	-29.08	0.0	-18.61	-72.35	5.00	8459.00
PR8_PB1	WT	2080	-90.92	-141.40	-42.64	0.0	0.0	-274.96	22.00	2163.00
PR8_PB1	WT	2111	-93.82	-414.69	-312.81	-116.08	-38.19	-975.59	70.00	11980.00
PR8_PB1	WT	2163	-45.07	-52.96	0.0	0.0	0.0	-98.03	8.00	7350.00
PR8_PB1	WT	2197	-92.88	-152.75	-43.10	0.0	0.0	-288.73	23.00	19330.00
PR8_PB1	WT	2263	-81.23	-155.61	-14.13	0.0	-18.73	-269.70	21.00	38188.00
PR8_PB1	WT	2291	-23.72	-51.23	0.0	0.0	0.0	-74.95	6.00	17195.00
PR8_PB1	WT	2316	-45.65	-91.54	-14.42	0.0	0.0	-151.61	12.00	0.00
PR8_PB1	WT	2340	0.0	-13.56	-104.75	-49.60	-55.40	-223.31	14.00	0.00
PR8_PA	WT	0	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	8	-11.87	-39.29	0.0	0.0	0.0	-51.16	4.00	0.00
PR8_PA	WT	43	-46.76	-64.67	-30.43	0.0	0.0	-141.86	11.00	3605.00
PR8_PA	WT	64	-11.72	-36.51	-29.55	0.0	0.0	-77.78	6.00	28289.00
PR8_PA	WT	101	-10.96	-12.60	-29.58	0.0	0.0	-53.14	4.00	60542.00
PR8_PA	WT	143	-45.74	-51.99	-30.17	0.0	-20.64	-148.54	11.00	6518.00
PR8_PA	WT	153	-58.29	-89.04	-15.56	-16.10	-20.64	-199.63	15.00	8959.00
PR8_PA	WT	158	-47.20	-115.16	-14.41	-16.10	0.0	-192.87	15.00	8460.00
PR8_PA	WT	213	-57.64	-63.95	-30.20	-16.72	0.0	-168.51	13.00	29702.00
PR8_PA	WT	218	-34.87	-51.43	-30.20	-16.72	0.0	-133.22	10.00	27816.00
PR8_PA	WT	233	-22.83	-39.54	-14.41	-16.65	0.0	-93.43	7.00	27206.00
PR8_PA	WT	281	-22.61	-39.19	-14.49	0.0	0.0	-76.29	6.00	5685.00
PR8_PA	WT	283	-22.61	-13.88	-14.49	0.0	-18.59	-69.57	5.00	5186.00
PR8_PA	WT	319	-33.91	-91.41	-14.87	0.0	-18.08	-158.27	12.00	2690.00
PR8_PA	WT	368	-21.67	-41.10	-14.83	0.0	0.0	-77.60	6.00	13312.00
PR8_PA	WT	433	0.0	0.0	0.0	0.0	0.0	0.00	0.00	2745.00
PR8_PA	WT	485	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	490	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	515	-45.15	-51.57	0.0	0.0	0.0	-96.72	8.00	0.00
PR8_PA	WT	563	-22.47	-24.75	0.0	0.0	0.0	-47.22	4.00	7985.00
PR8_PA	WT	581	0.0	-24.86	0.0	0.0	0.0	-24.86	2.00	8512.00
PR8_PA	WT	603	-47.09	-51.56	-29.60	0.0	0.0	-128.25	10.00	16583.00
PR8_PA	WT	649	0.0	-41.15	-74.58	0.0	0.0	-115.73	8.00	8015.00
PR8_PA	WT	700	0.0	-25.99	-15.19	0.0	0.0	-41.18	3.00	0.00
PR8_PA	WT	744	-22.54	-13.54	0.0	0.0	0.0	-36.08	3.00	998.00
PR8_PA	WT	758	-11.51	-37.69	-15.89	0.0	0.0	-65.09	5.00	1414.00
PR8_PA	WT	766	0.0	-25.14	-30.35	0.0	0.0	-55.49	4.00	18527.00
PR8_PA	WT	794	-57.03	-90.90	-44.72	0.0	-38.42	-231.07	17.00	17917.00
PR8_PA	WT	830	-11.03	-51.45	0.0	0.0	0.0	-62.48	5.00	2136.00
PR8_PA	WT	875	-11.52	-12.79	0.0	0.0	0.0	-24.31	2.00	6933.00
PR8_PA	WT	892	-46.93	-50.85	-30.65	0.0	0.0	-128.43	10.00	5740.00
PR8_PA	WT	895	-47.09	-51.89	-30.65	0.0	0.0	-129.63	10.00	4298.00
PR8_PA	WT	924	-11.75	-40.01	-14.49	0.0	0.0	-66.25	5.00	2939.00
PR8_PA	WT	954	-58.00	-127.37	-58.28	0.0	0.0	-243.65	19.00	1442.00
PR8_PA	WT	980	-23.38	-24.77	-28.48	0.0	0.0	-76.63	6.00	2968.00
PR8_PA	WT	1049	0.0	0.0	-28.89	0.0	0.0	-28.89	2.00	6934.00
PR8_PA	WT	1129	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	1218	-11.44	-26.08	0.0	0.0	0.0	-37.52	3.00	0.00
PR8_PA	WT	1235	-33.84	-26.83	0.0	0.0	0.0	-60.67	5.00	0.00
PR8_PA	WT	1288	-34.20	0.0	-14.71	0.0	0.0	-48.91	4.00	2745.00
PR8_PA	WT	1343	0.0	-39.22	-14.31	0.0	0.0	-53.53	4.00	3244.00
PR8_PA	WT	1431	0.0	0.0	-15.04	0.0	0.0	-15.04	1.00	20883.00
PR8_PA	WT	1447	-34.45	-36.77	-15.04	0.0	0.0	-86.26	7.00	3494.00
PR8_PA	WT	1488	-115.94	-166.92	-58.88	-33.94	-19.24	-394.92	30.00	4354.00
PR8_PA	WT	1522	-34.42	-27.11	-15.53	0.0	0.0	-77.06	6.00	1580.00
PR8_PA	WT	1600	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	1676	-35.21	-63.18	-14.62	-34.00	-18.12	-165.13	12.00	4105.00
PR8_PA	WT	1716	-68.35	-151.15	0.0	-16.02	0.0	-235.52	19.00	6323.00
PR8_PA	WT	1761	-80.79	-116.81	-88.07	-17.74	0.0	-303.41	23.00	12258.00
PR8_PA	WT	1793	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_PA	WT	1823	-11.57	-12.13	0.0	0.0	0.0	-23.70	2.00	1359.00
PR8_PA	WT	1857	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1359.00
PR8_PA	WT	1877	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1914.00
PR8_PA	WT	1879	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1914.00
PR8_PA	WT	1933	-11.49	0.0	-28.47	0.0	0.0	-39.96	3.00	2690.00
PR8_PA	WT	1981	-11.97	0.0	0.0	0.0	0.0	-11.97	1.00	3356.00
PR8_PA	WT	2023	-23.28	-13.54	-14.12	0.0	0.0	-50.94	4.00	17860.00
PR8_PA	WT	2068	-11.15	0.0	0.0	0.0	0.0	-11.15	1.00	11785.00
PR8_PA	WT	2114	0.0	0.0	-14.27	0.0	0.0	-14.27	1.00	9013.00
PR8_PA	WT	2147	0.0	-12.03	0.0	0.0	0.0	-12.03	1.00	2496.00
PR8_PA	WT	2175	-56.92	-141.08	-44.03	0.0	0.0	-242.03	19.00	970.00
PR8_PA	WT	2202	-34.79	-50.94	0.0	0.0	0.0	-85.73	7.00	970.00
PR8_PA	WT	2232	0.0	-79.30	-90.33	-33.33	-39.90	-242.86	16.00	0.00
PR8_HA	WT	0	0.0	-39.88	-14.20	0.0	0.0	-54.08	4.00	0.00
PR8_HA	WT	36	0.0	0.0	-15.16	0.0	0.0	-15.16	1.00	0.00
PR8_HA	WT	60	-11.72	-39.18	-57.40	0.0	0.0	-108.30	8.00	2441.00
PR8_HA	WT	80	-23.23	-25.34	-30.05	0.0	0.0	-78.62	6.00	18277.00
PR8_HA	WT	121	-136.58	-409.49	-150.31	-33.50	-37.82	-767.70	58.00	25350.00
PR8_HA	WT	188	-22.93	0.0	-14.11	0.0	0.0	-37.04	3.00	1193.00
PR8_HA	WT	221	-11.65	-51.67	0.0	0.0	0.0	-63.32	5.00	1193.00
PR8_HA	WT	241	-22.87	-26.20	-14.08	0.0	0.0	-63.15	5.00	1193.00
PR8_HA	WT	244	0.0	-26.20	-14.08	0.0	0.0	-40.28	3.00	0.00
PR8_HA	WT	264	-11.88	-13.29	0.0	0.0	0.0	-25.17	2.00	1997.00
PR8_HA	WT	309	-11.37	0.0	0.0	0.0	0.0	-11.37	1.00	471.00
PR8_HA	WT	332	0.0	-13.58	0.0	0.0	0.0	-13.58	1.00	0.00
PR8_HA	WT	355	0.0	-13.05	0.0	0.0	0.0	-13.05	1.00	0.00
PR8_HA	WT	357	0.0	-13.05	0.0	0.0	0.0	-13.05	1.00	0.00
PR8_HA	WT	424	-22.77	0.0	0.0	0.0	0.0	-22.77	2.00	2384.00
PR8_HA	WT	465	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1581.00
PR8_HA	WT	498	0.0	0.0	0.0	0.0	0.0	0.00	0.00	361.00
PR8_HA	WT	540	-11.76	0.0	0.0	0.0	0.0	-11.76	1.00	0.00
PR8_HA	WT	549	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_HA	WT	654	-10.75	-13.16	-14.99	0.0	0.0	-38.90	3.00	11785.00
PR8_HA	WT	682	0.0	-37.90	0.0	0.0	-19.54	-57.44	4.00	19661.00
PR8_HA	WT	711	-149.64	-203.59	-74.34	0.0	0.0	-427.57	34.00	16112.00
PR8_HA	WT	754	-46.81	-91.98	0.0	-16.52	0.0	-155.31	12.00	17500.00
PR8_HA	WT	757	-58.49	-91.98	0.0	0.0	0.0	-150.47	12.00	17500.00
PR8_HA	WT	809	-240.02	-295.28	-104.59	-16.65	0.0	-656.54	52.00	6989.00
PR8_HA	WT	839	-115.35	-300.49	-277.70	-118.17	-57.26	-868.97	63.00	5796.00
PR8_HA	WT	868	-22.90	-39.49	-29.12	0.0	0.0	-91.51	7.00	6850.00
PR8_HA	WT	923	-69.55	-182.58	-89.04	0.0	-18.26	-359.43	27.00	12369.00
PR8_HA	WT	969	-34.46	0.0	-29.02	0.0	0.0	-63.48	5.00	3799.00
PR8_HA	WT	1012	-11.89	-87.35	-30.24	0.0	-21.80	-151.28	11.00	17500.00
PR8_HA	WT	1033	-46.19	-125.29	0.0	-34.30	0.0	-205.78	16.00	1137.00
PR8_HA	WT	1081	0.0	0.0	0.0	0.0	0.0	0.00	0.00	5324.00
PR8_HA	WT	1111	-34.74	-12.10	0.0	0.0	0.0	-46.84	4.00	1608.00
PR8_HA	WT	1171	-23.82	-65.63	-45.63	0.0	0.0	-135.08	10.00	887.00
PR8_HA	WT	1202	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1774.00
PR8_HA	WT	1259	0.0	-13.62	0.0	0.0	0.0	-13.62	1.00	10483.00
PR8_HA	WT	1304	-79.95	-218.45	-133.59	-98.60	0.0	-530.59	39.00	5187.00
PR8_HA	WT	1354	-22.43	-12.89	0.0	0.0	0.0	-35.32	3.00	2774.00
PR8_HA	WT	1427	-10.85	-24.67	-14.85	0.0	0.0	-50.37	4.00	5714.00
PR8_HA	WT	1450	-11.75	-64.70	-29.11	0.0	0.0	-105.56	8.00	1831.00
PR8_HA	WT	1530	-23.46	-62.85	-15.74	0.0	-18.61	-120.66	9.00	471.00
PR8_HA	WT	1566	0.0	0.0	0.0	0.0	0.0	0.00	0.00	5158.00
PR8_HA	WT	1625	0.0	-116.55	-14.03	0.0	0.0	-130.58	10.00	6739.00
PR8_HA	WT	1666	-91.93	-204.74	-73.52	0.0	0.0	-370.19	29.00	11038.00
PR8_HA	WT	1682	-56.95	-25.60	-30.24	0.0	0.0	-112.79	9.00	2607.00
PR8_HA	WT	1716	-81.01	-180.07	-147.48	-32.48	0.0	-441.04	33.00	0.00
PR8_HA	WT	1752	-11.19	-12.65	0.0	0.0	0.0	-23.84	2.00	0.00
PR8_HA	WT	1772	0.0	0.0	-15.60	0.0	0.0	-15.60	1.00	0.00
PR8_NP	WT	0	-11.92	0.0	0.0	0.0	0.0	-11.92	1.00	0.00
PR8_NP	WT	3	-11.92	0.0	0.0	0.0	0.0	-11.92	1.00	0.00
PR8_NP	WT	21	0.0	0.0	0.0	0.0	0.0	0.00	0.00	0.00
PR8_NP	WT	64	0.0	-39.27	-14.95	0.0	0.0	-54.22	4.00	3079.00
PR8_NP	WT	115	-115.74	-271.08	-178.53	-117.26	0.0	-682.61	50.00	3550.00
PR8_NP	WT	153	-34.23	-52.33	-89.46	-32.59	0.0	-208.61	15.00	5324.00
PR8_NP	WT	183	0.0	-26.12	-14.16	0.0	0.0	-40.28	3.00	7654.00
PR8_NP	WT	214	-34.02	-77.89	-14.24	0.0	0.0	-126.15	10.00	8404.00
PR8_NP	WT	243	-103.39	-155.66	-45.49	-17.73	0.0	-322.27	25.00	11095.00
PR8_NP	WT	250	-80.92	-115.80	-46.21	-33.88	0.0	-276.81	21.00	17168.00
PR8_NP	WT	286	-68.75	-151.10	-29.32	0.0	0.0	-249.17	20.00	20440.00
PR8_NP	WT	337	-70.08	-116.27	-102.06	-85.20	0.0	-373.61	27.00	8680.00
PR8_NP	WT	394	-23.37	-39.67	-14.38	0.0	0.0	-77.42	6.00	21633.00
PR8_NP	WT	421	-33.51	-39.49	0.0	0.0	0.0	-73.00	6.00	8098.00
PR8_NP	WT	426	-11.50	-39.49	0.0	0.0	0.0	-50.99	4.00	9041.00
PR8_NP	WT	497	0.0	-25.70	-14.96	-16.58	0.0	-57.24	4.00	8736.00
PR8_NP	WT	538	-68.81	-209.49	-28.93	-32.73	0.0	-339.96	26.00	7045.00
PR8_NP	WT	567	-149.54	-358.23	-72.67	-17.27	0.0	-597.71	47.00	3772.00
PR8_NP	WT	596	-58.52	-282.57	-116.42	0.0	0.0	-457.51	35.00	2385.00
PR8_NP	WT	604	-115.20	-320.80	-131.00	0.0	0.0	-567.00	44.00	2385.00
PR8_NP	WT	647	0.0	-26.33	-29.91	-33.94	0.0	-90.18	6.00	11537.00
PR8_NP	WT	680	-80.89	-348.41	-359.69	-102.14	-76.05	-967.18	68.00	66311.00
PR8_NP	WT	723	-34.22	-117.13	-133.50	0.0	-18.85	-303.70	22.00	41239.00
PR8_NP	WT	755	-11.18	-90.33	-15.91	-17.54	0.0	-134.96	10.00	6655.00
PR8_NP	WT	807	-34.23	-100.72	-14.89	0.0	-19.69	-169.53	13.00	20746.00
PR8_NP	WT	839	-11.72	-24.64	-58.17	0.0	0.0	-94.53	7.00	0.00
PR8_NP	WT	868	0.0	0.0	0.0	0.0	0.0	0.00	0.00	1525.00
PR8_NP	WT	912	-22.58	-102.57	-43.35	-16.80	0.0	-185.30	14.00	4243.00
PR8_NP	WT	934	-23.02	-24.15	0.0	0.0	0.0	-47.17	4.00	4354.00
PR8_NP	WT	949	-23.28	-27.20	-15.23	0.0	0.0	-65.71	5.00	7986.00
PR8_NP	WT	954	-34.96	-13.21	-15.23	0.0	0.0	-63.40	5.00	7986.00
PR8_NP	WT	959	-34.93	-39.16	-14.51	0.0	0.0	-88.60	7.00	9872.00
PR8_NP	WT	1020	-138.17	-389.85	-105.60	-16.91	-37.12	-687.65	52.00	66197.00
